Region,Chapter_SubChapter,CODE,BRAND,AR_MOD,Plate_No,STATUS
NCR,Pasay City ,chapter62,Toyota Hiace Van,2009,ZSZ 354-A003,Functional
NCR,Quezon City ,chapter63,Toyota Hiace Van,1991,ZRL 663-A026,Functional
NCR,Quezon City ,chapter63,Toyota Hiace Van,2009,ZTT286-A002,Functional
NCR,Quezon City ,chapter63,Kia Besta Van,1998,SFC 598,Functional
NCR,Quezon City ,chapter63,Kia Besta Van,1997,WNG 584,Functional
NCR,Quezon City ,chapter63,Toyota Hiace Van,2007,ZLC 152,Functional
NCR,Quezon City ,chapter63,Ford E350,2003,RLL 783,Functional
NCR,Quezon City ,chapter63,Foton Van,2010,,Functional
IV-A,Quezon Lucena City ,chpater64,Ford Ranger 4x4,2007,ZLU 943-A018,Functional
II,Quirino ,chapter65,Toyota Hiace Van,1993,ZRL 603-A027,Functional
NCR,Rizal Chapter (Main),chapter66,Toyota Hiace Van,1995,ZRL 723-A027,Functional
NCR,Rizal Chapter (Main),chapter66,Toyota Hiace Van,2009,ZTT 759-A004,Functional
NCR,Rizal Chapter (Main),chapter66,Toyota Hiaace,2004,XRK 296,Functional
II,Santiago City Sub Chapter,sub14,Toyota Hiace Van,1993,ZRL 683-A028,Functional
II,Santiago City Sub Chapter,sub14,Ford Ranger 4x4,2009,NOP 522,Functional
XII,South Cotabato ,chapter70,Ford Ranger 4x4,2009,NOP 652,Functional
ARMM,Sulu ,chapter73,L300 Van,2005,ZFD 927,
XIII,Surigao del Sur ,chapter75,Ford Ranger 4x4,2009,NOP 632,
III,Tarlac,chapter77,Toyota Hiace Van,1993,RDL 173,Functional
NCR,Valenzuela City,chapter78,Toyota Hiace Van,2009,ZRG 770-A005,Functional
VIII,Western Samar,chapter79,Ford Ranger 4x4,2009,NOP 622,Functional
I,Zambales ,chapter80,Toyota Hiace Van,2009,ZTT 699-A009,Functional
IX,Zamboanga City,chapter81,Toyota Hiace Van,2009,ZSM 920-A017,Functional
IX,Zamboanga City,chapter82,Kia Besta Van ,1998,WGZ 453,Functional
IX,Zamboanga City,chapter83,Ford Truck,2000,SEM 270,
IX,Zamboanga City,chapter84,Kia Besta Van,1998,SEL 966,Functional
IX,Zamboanga del Norte ,chapter82,Ford Ranger 4x4,2009,NIS 892,Functional
